timestamp,game_num,winner,score_diff,total_moves,loss
2025-09-02 04:11:41,5,B,15.5,587,6.8666
2025-09-02 04:19:54,6,B,138.5,727,6.8629
2025-09-02 04:27:44,7,B,106.5,697,6.8257
2025-09-02 04:34:15,8,W,-111.5,599,6.8228
2025-09-02 04:40:40,9,B,140.5,567,6.8558
2025-09-02 04:48:09,10,W,-18.5,657,6.7834
2025-09-02 05:00:01,11,B,30.5,946,6.8647
2025-09-02 05:08:20,12,B,35.5,738,6.7831
2025-09-02 05:21:23,13,B,6.5,1041,6.8547
2025-09-02 05:27:10,14,B,157.5,522,6.8650
2025-09-02 05:35:56,15,W,-158.5,723,6.8218
2025-09-02 05:42:42,16,W,-12.5,607,6.8673
2025-09-02 05:51:15,17,B,16.5,704,6.7536
2025-09-02 06:07:43,18,B,146.5,1082,6.8247
2025-09-02 06:14:20,19,W,-44.5,596,6.8285
2025-09-02 06:23:23,20,W,-107.5,740,6.7610
2025-09-02 06:57:59,21,B,117.5,783,6.8416
2025-09-02 07:21:14,22,W,-21.5,1326,6.8386
2025-09-02 07:38:01,23,B,65.5,1235,6.8370
2025-09-02 07:45:04,24,W,-8.5,639,6.8396
2025-09-02 07:56:00,25,W,-17.5,922,6.8798
2025-09-02 08:02:00,26,W,-92.5,543,6.8803
2025-09-02 08:10:46,27,B,82.5,723,6.8801
2025-09-02 08:18:27,28,B,2.5,658,6.8108
2025-09-02 08:26:52,29,B,13.5,728,6.8893
2025-09-02 08:43:02,30,W,-44.5,1110,6.8841
2025-09-02 08:54:22,31,B,113.5,910,6.7848
2025-09-02 09:06:16,32,B,153.5,924,6.8954
2025-09-02 09:15:07,33,W,-20.5,743,6.8900
2025-09-02 09:28:12,34,B,6.5,1057,6.8532
2025-09-02 09:40:20,35,W,-37.5,939,6.7816
2025-09-02 09:46:45,36,W,-19.5,595,6.8518
2025-09-02 09:53:41,37,W,-191.5,547,6.8871
2025-09-02 10:00:06,38,B,23.5,602,6.8576
2025-09-02 10:18:16,39,B,76.5,1239,6.8159
2025-09-02 10:27:57,40,B,221.5,702,6.8812
2025-09-02 10:56:34,41,W,-9.5,627,6.8173
2025-09-02 11:03:33,42,B,58.5,634,6.8474
2025-09-02 11:10:02,43,B,96.5,579,6.7395
2025-09-02 11:16:38,44,W,-86.5,583,6.8872
2025-09-02 11:23:30,45,B,166.5,608,6.8510
2025-09-02 11:39:07,46,W,-21.5,1163,6.7760
2025-09-02 11:45:20,47,W,-41.5,569,6.8104
2025-09-02 11:55:23,48,B,124.5,804,6.8073
2025-09-02 12:03:44,49,W,-164.5,710,6.8503
2025-09-02 12:11:56,50,W,-126.5,696,6.8852
2025-09-02 12:17:18,51,B,33.5,506,6.8855
2025-09-02 12:24:50,52,W,-47.5,662,6.8467
2025-09-02 12:39:51,53,B,6.5,1128,6.8879
2025-09-02 12:59:26,54,W,-148.5,1267,6.8472
2025-09-02 13:09:19,55,B,15.5,582,6.8445
2025-09-02 13:23:58,56,W,-55.5,903,6.8498
2025-09-02 13:30:12,57,W,-12.5,575,6.8506
2025-09-02 13:42:11,58,W,-109.5,867,6.8447
2025-09-02 13:49:12,59,W,-44.5,636,6.7337
2025-09-02 14:04:54,60,B,93.5,1098,6.8838
2025-09-02 14:39:47,61,W,-141.5,815,6.8407
2025-09-02 15:18:45,1,B,41.5,794,6.8136
2025-09-02 15:23:01,2,W,-31.5,436,6.8430
2025-09-02 15:27:59,3,W,-22.5,483,6.8812
2025-09-02 15:41:03,4,B,12.5,975,6.8133
2025-09-02 15:50:27,5,W,-7.5,798,6.8790
2025-09-02 15:56:27,6,W,-56.5,558,6.8917
2025-09-02 16:00:57,7,W,-72.5,450,6.8885
2025-09-02 16:07:31,8,B,20.5,576,6.8840
2025-09-02 16:12:31,9,W,-16.5,475,6.8895
2025-09-02 16:18:35,10,B,33.5,565,6.8098
2025-09-02 16:24:49,11,W,-65.5,571,6.8842
2025-09-02 16:30:59,12,W,-37.5,556,6.8867
2025-09-02 16:37:58,13,W,-54.5,605,6.8850
2025-09-02 16:44:13,14,W,-66.5,574,6.8507
2025-09-02 16:49:12,15,W,-95.5,471,6.8131
2025-09-02 16:55:14,16,B,14.5,552,6.8840
2025-09-02 17:01:58,17,B,110.5,601,6.8853
2025-09-02 17:08:06,18,B,0.5,568,6.8493
2025-09-02 17:13:03,19,W,-41.5,494,6.8506
2025-09-02 17:18:34,20,W,-55.5,525,6.8536
2025-09-02 17:57:17,21,B,7.5,762,6.8537
2025-09-02 18:05:35,22,B,29.5,597,6.8462
2025-09-02 18:09:48,23,W,-34.5,425,6.8464
2025-09-02 18:15:43,24,W,-35.5,571,6.8077
2025-09-02 18:20:30,25,W,-41.5,477,6.8844
2025-09-02 18:26:47,26,W,-33.5,576,6.8839
2025-09-02 18:32:58,27,B,22.5,584,6.8829
2025-09-02 18:37:39,28,W,-96.5,460,6.8469
2025-09-02 18:43:51,29,W,-26.5,587,6.8057
2025-09-02 18:50:45,30,W,-83.5,614,6.8464
2025-09-02 18:58:44,31,B,40.5,685,6.8376
2025-09-02 19:06:02,32,W,-24.5,622,6.8389
2025-09-02 19:12:43,33,W,-14.5,591,6.8797
2025-09-02 19:17:29,34,W,-69.5,450,6.8012
2025-09-02 19:26:02,35,W,-150.5,723,6.8635
2025-09-02 19:30:32,36,W,-37.5,450,6.8728
2025-09-02 19:36:14,37,W,-47.5,547,6.8648
2025-09-02 19:41:58,38,W,-41.5,521,6.8650
2025-09-02 19:48:53,39,W,-47.5,642,6.8652
2025-09-02 19:54:07,40,W,-3.5,504,6.8149
2025-09-02 20:29:22,41,W,-5.5,655,6.7731
2025-09-02 20:36:17,42,B,3.5,567,6.8169
2025-09-02 20:47:55,43,W,-17.5,692,6.8442
2025-09-02 20:57:27,44,B,15.5,567,6.8057
2025-09-02 21:05:43,45,W,-54.5,494,6.7118
